PassengerId,Survived_pred,Survived_prob
892,0,0.0947656316064947
893,0,0.4039632122225608
894,0,0.08490915394504321
895,0,0.1177352579303261
896,1,0.6052347923116715
897,0,0.16856342499796437
898,1,0.6270201113598692
899,0,0.1779518402711181
900,1,0.7115369880002269
901,0,0.07578194936962657
902,0,0.1142245894119364
903,0,0.25679939070618185
904,1,0.9371426617939
905,0,0.061538011519992726
906,1,0.8324289095627517
907,1,0.761831563533002
908,0,0.18174522158000045
909,0,0.13872781352695848
910,1,0.5633067600905616
911,1,0.5094001233437166
912,0,0.16558898079213688
913,0,0.18954610149323484
914,1,0.8968821501520413
915,0,0.46005206991104225
916,1,0.9217103550448907
917,0,0.04326298904146537
918,1,0.9542495032799185
919,0,0.13308350916862988
920,0,0.4270322911717352
921,0,0.061083149046930955
922,0,0.09046351120706322
923,0,0.1393287630681842
924,1,0.5246221119127943
925,1,0.566365438488541
926,0,0.4061474009556873
927,0,0.14858157450034642
928,1,0.6421601345190512
929,1,0.6922862953886408
930,0,0.1248194951669043
931,0,0.12909058368184073
932,0,0.08432506983264418
933,1,0.5277986788814828
934,0,0.07834658651590001
935,1,0.7841695540258203
936,1,0.8712220549372596
937,0,0.12432727836041899
938,0,0.39545322733493105
939,0,0.11418232234547339
940,1,0.8654120310847673
941,1,0.586830822679444
942,0,0.4933766218957806
943,0,0.22434723952768196
944,1,0.7141358605244003
945,1,0.8724005252932983
946,0,0.2190875557098682
947,0,0.05426835500202144
948,0,0.09341615303106261
949,0,0.1862533587961054
950,0,0.0841977215430562
951,1,0.9594316468757487
952,0,0.15501588954040532
953,0,0.19700265626904392
954,0,0.15081103881791144
955,1,0.684838344040044
956,1,0.6440472398783448
957,1,0.798532869649213
958,1,0.7119191619787424
959,0,0.25966329487825696
960,1,0.5052165384565028
961,1,0.834873961486685
962,1,0.6708598592419021
963,0,0.1389576558257159
964,1,0.6346801381436801
965,1,0.5246404325802226
966,1,0.9547655197987442
967,1,0.6217809246534811
968,0,0.11426930644621233
969,1,0.7922604994964696
970,0,0.20710335194349733
971,1,0.6708598592419021
972,0,0.15655765130201865
973,0,0.28072580441678324
974,0,0.23888376653873397
975,0,0.1142245894119364
976,0,0.21670877719969617
977,0,0.08383476149747715
978,1,0.6493785588486229
979,1,0.7120195355151957
980,1,0.6419625569073091
981,0,0.31467024742293054
982,1,0.606338316675963
983,0,0.11418956881695179
984,1,0.8945298370062297
985,0,0.11426930644621233
986,0,0.40378865852580553
987,0,0.12428697495780819
988,1,0.659224650476516
989,0,0.11103037859987885
990,1,0.6985830360895736
991,0,0.09902677802085812
992,1,0.8791254270033366
993,0,0.17208396738142753
994,0,0.11418232234547339
995,0,0.12083454483837193
996,1,0.6476660232572932
997,0,0.11853532824158
998,0,0.13893194204649265
999,0,0.11418232234547339
1000,0,0.1144616008108789
1001,0,0.4065200599124125
1002,0,0.15589174687786192
1003,1,0.6419817899146205
1004,1,0.9242991838744782
1005,1,0.7082691482756819
1006,1,0.8605573753248565
1007,0,0.11195867778886638
1008,0,0.11380244481615748
1009,1,0.7001915907823102
1010,0,0.4986192639312114
1011,1,0.7305836438612191
1012,1,0.8670175290428253
1013,0,0.08237088502717094
1014,1,0.9044050673071846
1015,0,0.11403747701996056
1016,0,0.11418232234547339
1017,1,0.7231874071961444
1018,0,0.1351340751704895
1019,0,0.4761724685486588
1020,0,0.15096817368468102
1021,0,0.12789829046550685
1022,0,0.10192290887733908
1023,0,0.3353125531835132
1024,1,0.6535460822460535
1025,0,0.08208703468520319
1026,0,0.07385085410295544
1027,0,0.1278357177148284
1028,0,0.11897736367608641
1029,0,0.22894274227276476
1030,1,0.6780844101833903
1031,0,0.06398866447798206
1032,0,0.36904424039694966
1033,1,0.912641609803402
1034,0,0.3581528951161219
1035,0,0.2242395875013221
1036,0,0.28233462297434064
1037,0,0.0391273879315059
1038,0,0.4753352066367983
1039,0,0.13521923523732363
1040,0,0.381245367723092
1041,0,0.15881556580734427
1042,1,0.9573208190041153
1043,0,0.1142245894119364
1044,0,0.04431948283433697
1045,1,0.5842460198229983
1046,0,0.04984665009169127
1047,0,0.12773855488027722
1048,1,0.9634323972815324
1049,1,0.677961916638489
1050,0,0.4164569053762863
1051,1,0.6604388283296386
1052,1,0.6419515570025172
1053,0,0.15237247424075984
1054,1,0.8052990994408002
1055,0,0.11396511440885825
1056,0,0.15512183804139648
1057,1,0.5810404143996659
1058,0,0.38675097412453907
1059,0,0.08504861489208462
1060,1,0.8958272123591898
1061,1,0.6856032586749848
1062,0,0.11412436499358988
1063,0,0.11730802894612495
1064,0,0.09685160747539596
1065,0,0.11403145492423569
1066,0,0.06137716489762173
1067,1,0.8635780140682496
1068,1,0.8427261095175473
1069,0,0.26875673503071656
1070,1,0.9101705494359862
1071,1,0.8522654695504874
1072,0,0.20710335194349733
1073,0,0.4069160685155296
1074,1,0.9133533371428166
1075,0,0.11418232234547339
1076,1,0.9222383420561199
1077,0,0.16052346427354022
1078,1,0.8322240581421102
